10000 1 -0.46039419363183453626
0.0001 0.081331 0.138695 0.839431
0.0001 0.859692 0.989944 0.257983
0.0001 0.331900 0.650725 0.749665
0.0001 0.038063 0.262737 0.946460
0.0001 0.300863 0.283060 0.602492
0.0001 0.243022 0.677222 0.574766
0.0001 0.323628 0.736227 0.378627
0.0001 0.568967 0.601640 0.718367
0.0001 0.763547 0.835016 0.843471
0.0001 0.603045 0.278260 0.590170
0.0001 0.245683 0.387397 0.109013
0.0001 0.007366 0.472896 0.956086
0.0001 0.748479 0.054758 0.711214
0.0001 0.323867 0.574678 0.848103
0.0001 0.893062 0.279524 0.398693
0.0001 0.347905 0.043208 0.240299
0.0001 0.434989 0.502028 0.787845
0.0001 0.829861 0.351229 0.253634
0.0001 0.760990 0.420190 0.067466
0.0001 0.445500 0.439486 0.576449
0.0001 0.616378 0.809528 0.444606
0.0001 0.756137 0.500561 0.983353
0.0001 0.116979 0.271212 0.705543
0.0001 0.735397 0.716050 0.339378
0.0001 0.043976 0.059841 0.201894
0.0001 0.118801 0.520254 0.804913
0.0001 0.874363 0.569772 0.326225
0.0001 0.848440 0.512684 0.592745
0.0001 0.890830 0.379175 0.163399
0.0001 0.768408 0.074673 0.675776
0.0001 0.123115 0.500866 0.381704
0.0001 0.553851 0.112118 0.788308
0.0001 0.857506 0.966989 0.465620
0.0001 0.051248 0.401230 0.638534
0.0001 0.149052 0.796195 0.139260
0.0001 0.853577 0.912100 0.517487
0.0001 0.739279 0.323182 0.919988
0.0001 0.010070 0.700683 0.911026
0.0001 0.052739 0.392434 0.022605
0.0001 0.938104 0.599343 0.436268
0.0001 0.415847 0.481797 0.657082
0.0001 0.952011 0.120992 0.137549
0.0001 0.154920 0.786709 0.140961
0.0001 0.513819 0.882480 0.259422
0.0001 0.144585 0.533912 0.904153
0.0001 0.226886 0.762871 0.153006
0.0001 0.274873 0.107744 0.248742
0.0001 0.136050 0.785027 0.409004
0.0001 0.242348 0.722295 0.482014
0.0001 0.213803 0.557923 0.215202
0.0001 0.080886 0.213027 0.725729
0.0001 0.284585 0.164797 0.266866
0.0001 0.910976 0.562911 0.430273
0.0001 0.914279 0.975696 0.146494
0.0001 0.793550 0.227581 0.435685
0.0001 0.121081 0.080552 0.439559
0.0001 0.294211 0.868591 0.703200
0.0001 0.904239 0.441644 0.403071
0.0001 0.147119 0.564451 0.303162
0.0001 0.209963 0.540359 0.064072
0.0001 0.197412 0.194953 0.619686
0.0001 0.251110 0.026626 0.728907
0.0001 0.778301 0.080772 0.978756
0.0001 0.718803 0.806617 0.741841
0.0001 0.799948 0.282290 0.030496
0.0001 0.682442 0.739565 0.595570
0.0001 0.622154 0.714263 0.902551
0.0001 0.670836 0.582760 0.092981
0.0001 0.979593 0.250855 0.039421
0.0001 0.413716 0.943057 0.309750
0.0001 0.235364 0.193246 0.432660
0.0001 0.308907 0.274372 0.015865
0.0001 0.983920 0.443130 0.027041
0.0001 0.137452 0.529004 0.340145
0.0001 0.493597 0.825200 0.595211
0.0001 0.682623 0.414212 0.499306
0.0001 0.987908 0.991991 0.947456
0.0001 0.708824 0.902530 0.614644
0.0001 0.913553 0.051888 0.352689
0.0001 0.275907 0.024392 0.982462
0.0001 0.080956 0.891484 0.037042
0.0001 0.282966 0.496992 0.904598
0.0001 0.401453 0.150040 0.538508
0.0001 0.445668 0.325546 0.877488
0.0001 0.788423 0.962074 0.663990
0.0001 0.300671 0.267359 0.328706
0.0001 0.452563 0.216535 0.905798
0.0001 0.739899 0.304340 0.617270
0.0001 0.200934 0.301887 0.041617
0.0001 0.936259 0.529556 0.814864
0.0001 0.238145 0.770323 0.096332
0.0001 0.924764 0.728049 0.938555
0.0001 0.907419 0.312550 0.347235
0.0001 0.538959 0.899141 0.334699
0.0001 0.340828 0.620775 0.769423
0.0001 0.558397 0.782974 0.870993
0.0001 0.677908 0.761667 0.391818
0.0001 0.943664 0.746456 0.047092
0.0001 0.473739 0.715259 0.487079
0.0001 0.557572 0.647282 0.370984
0.0001 0.958974 0.055019 0.444978
0.0001 0.896357 0.924556 0.271480
0.0001 0.547777 0.202742 0.273056
0.0001 0.330739 0.684867 0.148644
0.0001 0.741494 0.425323 0.057487
0.0001 0.851163 0.765812 0.824670
0.0001 0.830155 0.581104 0.461444
0.0001 0.225183 0.425911 0.040480
0.0001 0.203375 0.576038 0.600731
0.0001 0.838376 0.229309 0.890911
0.0001 0.865152 0.614780 0.593378
0.0001 0.220304 0.979027 0.192360
0.0001 0.960005 0.098528 0.966724
0.0001 0.675366 0.365021 0.642770
0.0001 0.987333 0.376970 0.800036
0.0001 0.825976 0.635763 0.633510
0.0001 0.652438 0.984435 0.996767
0.0001 0.053864 0.278222 0.818165
0.0001 0.183179 0.187782 0.019893
